year,growth_rate,heatwaves_prev,avgTemp_prev,logval_prev
1981,-0.20106514369306416,34,9.64381985599051,2.1335389083702174
1982,-0.22918238655849188,17,8.534039599274966,1.9324737646771533
1983,-0.34535653111820763,39,10.62481196155288,1.7032913781186614
1984,0.10446315089850233,42,10.160807316681096,1.3579348470004537
1985,-0.32885908952873866,16,8.76872922296394,1.462397997898956
1986,0.1383026981662816,22,8.583224278280197,1.1335389083702174
1987,0.36364214027841313,18,8.131245652290254,1.271841606536499
1988,0.06694678963061307,27,10.016147409241087,1.6354837468149122
1989,0.24155833862824672,55,10.897073029818626,1.7024305364455252
1990,-0.19040581618086527,81,11.6561572767284,1.943988875073772
1991,0.1500494571913309,24,9.669416788179593,1.7535830588929067
1992,-0.11546414494306978,62,11.706419130752671,1.9036325160842376
1993,-0.05819408544161209,39,10.463831235284696,1.7881683711411678
1994,-0.45813267916305667,13,8.564130140330725,1.7299742856995557
1995,-0.07318451958207639,48,10.776714669841624,1.271841606536499
1996,0.2078830934795326,40,9.131759751950467,1.1986570869544226
1997,0.16516865137473236,50,10.325805329623304,1.4065401804339552
1998,-0.10336150139653033,60,10.771860953553118,1.5717088318086876
1999,0.294331233315279,19,9.309751662162903,1.4683473304121573
2000,-0.3093602236803985,60,11.272249590764304,1.7626785637274363
2001,0.18914618019508356,26,9.983921207793784,1.4533183400470377
2002,-0.12263652646640244,58,11.16920324874255,1.6424645202421213
2003,-0.29711152262813556,65,9.871771073014799,1.5198279937757189
2004,0.21344617589317272,47,10.872686900988315,1.2227164711475833
2005,-0.11394335230683672,40,10.63681439961475,1.436162647040756
2006,-0.20827594242708258,48,10.161096776674905,1.3222192947339193
2007,0.592774430029922,102,12.551446784032567,1.1139433523068367
2008,-0.4256844150890311,53,11.072641574880485,1.7067177823367587
2009,0.34633248934500505,42,10.579373127140427,1.2810333672477277
2010,-0.13740737716789808,14,8.816960081335642,1.6273658565927327
2011,0.06754872248082333,22,9.19096947238873,1.4899584794248346
2012,0.026824022461872765,61,11.002853376878443,1.557507201905658
2013,-0.2498774732165998,7,9.089200957833937,1.5843312243675307
2014,-0.29306106599270576,50,11.534470649614763,1.334453751150931
2015,0.5076105768675627,50,11.177286895333916,1.0413926851582251
2016,-0.7636734270150208,54,11.0430712090164,1.5490032620257879
2017,0.1440890907035257,39,10.781906838613036,0.785329835010767
2018,0.31855434064751387,42,10.821260969606179,0.9294189257142927
