year,growth_rate,heatwaves_prev,avgTemp_prev,precip_prev,totalPrecip_prev,logval_prev
1981,-0.20106514369306416,34,9.643819855990476,24,1000.2078965656978,2.1335389083702174
1982,-0.22918238655849188,17,8.534039599274966,15,819.9904219046417,1.9324737646771533
1983,-0.34535653111820763,39,10.624811961552906,25,1027.9659276413718,1.7032913781186614
1984,0.10446315089850232,42,10.160807316681106,14,814.0783342599781,1.3579348470004535
1985,-0.32885908952873866,16,8.768729222963957,24,929.3736575197933,1.462397997898956
1986,0.1383026981662816,22,8.583224278280202,24,917.0742790707678,1.1335389083702174
1987,0.36364214027841313,18,8.131245652290247,26,956.7089529469896,1.271841606536499
1988,0.06694678963061307,27,10.016147409241055,27,963.6371807061432,1.6354837468149122
1989,0.24155833862824672,55,10.897073029818635,29,1035.9512822814168,1.7024305364455252
1990,-0.19040581618086527,81,11.65615727672839,21,902.7546450818136,1.943988875073772
1991,0.1500494571913309,24,9.669416788179598,22,734.5606182634548,1.7535830588929069
1992,-0.11546414494306978,62,11.706419130752677,17,661.4265840441365,1.9036325160842376
1993,-0.05819408544161209,39,10.463831235284706,14,767.7022491369598,1.7881683711411678
1994,-0.45813267916305667,13,8.564130140330725,18,806.7560557322474,1.7299742856995557
1995,-0.07318451958207639,48,10.776714669841637,29,984.9269349862196,1.271841606536499
1996,0.2078830934795326,40,9.131759751950495,9,546.5594764256138,1.1986570869544226
1997,0.16516865137473236,50,10.32580532962332,22,808.4548006768844,1.4065401804339552
1998,-0.10336150139653032,60,10.771860953553054,18,833.7171702917772,1.5717088318086876
1999,0.294331233315279,19,9.3097516621629,28,1056.3656460893149,1.4683473304121573
2000,-0.3093602236803985,60,11.27224959076432,33,1073.245456833263,1.7626785637274365
2001,0.18914618019508356,26,9.983921207793806,28,1129.9205129453185,1.4533183400470375
2002,-0.12263652646640244,58,11.169203248742532,18,892.0201091912041,1.6424645202421213
2003,-0.29711152262813556,65,9.871771073014784,20,814.904165710569,1.5198279937757189
2004,0.21344617589317272,47,10.872686900988327,15,778.2838611633381,1.2227164711475833
2005,-0.11394335230683672,40,10.636814399614744,26,932.3095733355408,1.436162647040756
2006,-0.20827594242708256,48,10.161096776674894,24,856.4685451820536,1.3222192947339193
2007,0.592774430029922,102,12.551446784032567,33,1151.753289226292,1.1139433523068367
2008,-0.4256844150890311,53,11.072641574880484,33,1034.7179581949035,1.7067177823367587
2009,0.34633248934500505,42,10.579373127140428,20,875.7871418428635,1.2810333672477277
2010,-0.13740737716789808,14,8.816960081335642,16,900.2439431875471,1.6273658565927327
2011,0.06754872248082333,22,9.19096947238873,20,891.8478126352625,1.4899584794248346
2012,0.02682402246187276,61,11.002853376878443,29,1056.1039057392882,1.557507201905658
2013,-0.2498774732165998,7,9.089200957833937,21,969.7988930045652,1.5843312243675307
2014,-0.29306106599270576,50,11.534470649614764,27,1022.7588193474728,1.334453751150931
2015,0.5076105768675627,50,11.177286895333916,30,1169.9072870360926,1.0413926851582251
2016,-0.7636734270150208,54,11.0430712090164,23,918.3539586162508,1.549003262025788
2017,0.1440890907035257,39,10.781906838613036,12,710.0935206130431,0.785329835010767
2018,0.31855434064751387,42,10.82126096960618,25,854.4761537069121,0.9294189257142929
