"","tsGroup","year"
"290","G10578-A",6
"291","G10581-A",17
"292","G10582-A",18
"293","G10583-A",17
"294","G10585-A",30
"295","G10590-A",7
"296","G10593-A",6
"297","G10594-A",5
"298","G10594-B",19
"299","G10595-A",26
"300","G10601-A",26
"301","G10604-A",9
"302","G10604-B",16
"303","G10623-A",6
"304","G10626-A",23
"305","G10630-A",25
"306","G10643-A",5
"307","G10643-B",5
"308","G10644-A",5
"309","G10646-A",5
"310","G10650-A",6
"311","G10653-A",8
"312","G10653-B",11
"313","G10660-A",6
"314","G10664-A",9
"315","G10666-A",5
"316","G10666-B",10
"317","G10672-A",6
"318","G10672-B",6
"319","G10677-A",5
"320","G10681-A",5
"321","G10685-A",10
"322","G10687-A",9
"323","G10689-A",7
"324","G10691-A",24
"325","G10693-A",10
"326","G10694-A",10
"327","G10696-A",22
"328","G10697-A",5
"329","G10700-A",26
"330","G10701-A",17
"331","G10702-A",8
"332","G10703-A",5
"333","G10705-A",17
"334","G10714-A",6
"335","G10720-A",8
"336","G10720-B",10
"337","G10721-A",8
"338","G10723-A",18
"339","G10723-B",10
"340","G10727-A",7
"341","G10729-A",5
"342","G10733-A",6
"343","G10736-A",6
"344","G10738-A",6
"345","G10739-A",6
"346","G10740-A",6
"347","G10741-A",27
"348","G10747-A",5
"349","G10749-A",6
"350","G10752-A",17
"351","G10757-A",7
"352","G10761-A",11
"353","G10762-A",7
"354","G10764-A",13
"355","G10764-B",7
"356","G10764-C",6
"357","G10775-A",5
"358","G10775-B",5
"359","G10777-A",9
"360","G10778-A",5
"361","G10782-A",10
"362","G10783-A",7
"363","G10785-A",5
"364","G10786-A",7
"365","G10788-A",7
"366","G10788-B",12
"367","G10790-A",14
"368","G10793-A",6
"369","G10798-A",10
"370","G10800-A",20
"371","G10801-A",5
"372","G10804-A",5
"373","G10804-B",8
"374","G10806-A",7
"375","G10807-A",6
"376","G10807-B",14
"377","G10808-A",9
"378","G10812-A",13
"379","G10813-A",10
"380","G10815-A",17
"381","G10817-A",5
"382","G10820-A",17
"383","G10820-B",6
"384","G10821-A",22
"385","G10822-A",17
"386","G10826-A",24
"387","G10828-A",23
"388","G10832-A",8
"389","G10832-B",6
"390","G10838-A",8
"391","G10840-A",8
"392","G10841-A",5
"393","G10843-A",6
"394","G10845-A",5
"395","G10846-A",12
"396","G10846-B",5
"397","G10846-C",8
"398","G10849-A",11
"399","G10850-A",9
"400","G10853-A",5
"401","G10854-A",28
"402","G10855-A",24
"403","G10858-A",5
"404","G10858-B",10
"405","G10859-A",17
"406","G10859-B",12
"407","G10860-A",6
"408","G10863-A",26
"409","G10865-A",9
"410","G10866-A",5
"411","G10867-A",16
"412","G10867-B",7
"413","G10867-C",8
"414","G10868-A",6
"415","G10868-B",7
"416","G10871-A",26
"417","G10875-A",10
"418","G10876-A",5
"419","G10877-A",11
"420","G10880-A",9
"421","G10881-A",6
"422","G10883-A",6
"423","G10886-A",14
"424","G10887-A",5
"425","G10887-B",7
"426","G10888-A",16
"427","G10888-B",6
"428","G10889-A",11
"429","G10893-A",6
"430","G10893-B",12
"431","G10894-A",7
"432","G10895-A",18
"433","G10896-A",11
"434","G10898-A",9
"435","G10899-A",5
"436","G10900-A",12
"437","G10906-A",21
"438","G10908-A",12
"439","G10908-B",6
"440","G10908-C",6
"441","G10910-A",7
"442","G10913-A",23
"443","G10915-A",5
"444","G10915-B",6
"445","G10917-A",8
"446","G10920-A",15
"447","G10921-A",8
"448","G10922-A",10
"449","G10926-A",8
"450","G10926-B",11
"451","G10927-A",8
"452","G10930-A",8
"453","G10932-A",12
"454","G10933-A",10
"455","G10935-A",13
"456","G10938-A",9
"457","G10942-A",8
"458","G10943-A",7
"459","G10947-A",5
"460","G10947-B",9
"461","G10950-A",14
"462","G10952-A",15
"463","G10954-A",8
"464","G10957-A",7
"465","G10958-A",18
"466","G10959-A",11
"467","G10960-A",18
"468","G10961-A",11
"469","G10962-A",12
"470","G10965-A",16
"471","G10966-A",6
"472","G10968-A",36
"473","G10970-A",6
"474","G10970-B",18
"475","G10973-A",7
"476","G10973-B",9
"477","G10973-C",7
"478","G10974-A",5
"479","G10974-B",12
"480","G10977-A",14
"481","G10977-B",11
"482","G10978-A",28
"483","G10979-A",16
"484","G10980-A",19
"485","G10981-A",8
"486","G10982-A",5
"487","G10982-B",7
"488","G10983-A",9
"489","G10985-A",8
"490","G10987-A",11
"491","G10988-A",36
"492","G10990-A",16
"493","G10991-A",10
"494","G10994-A",29
"495","G10995-A",5
"496","G10997-A",5
"497","G11005-A",5
"498","G11013-A",8
"499","G11017-A",8
"500","G11019-A",30
"501","G11023-A",9
"502","G11025-A",9
"503","G11025-B",10
"504","G11029-A",15
"505","G11030-A",7
"506","G11035-A",10
"507","G11043-A",11
"508","G11046-A",5
"509","G11049-A",5
"510","G11054-A",6
"511","G11056-A",9
"512","G11059-A",6
"513","G11059-B",16
"514","G11060-A",7
"515","G11060-B",8
"516","G11061-A",9
"517","G11065-A",12
"518","G11069-A",11
"519","G11069-B",7
"520","G11072-A",11
"521","G11077-A",11
"522","G11080-A",6
"523","G11080-B",9
"524","G11082-A",10
"525","G11083-A",14
"526","G11086-A",8
"527","G11089-A",16
"528","G11090-A",9
"529","G11091-A",6
"530","G11091-B",20
"531","G11092-A",6
"532","G11094-A",6
"533","G11095-A",6
"534","G11096-A",8
"535","G11096-B",13
"536","G11096-C",7
"537","G11097-A",5
"538","G11099-A",5
"539","G11100-A",5
"540","G11103-A",7
"541","G11103-B",6
"542","G11105-A",14
"543","G11110-A",7
"544","G11110-B",6
"545","G11112-A",15
"546","G11116-A",12
"547","G11119-A",14
"548","G11121-A",8
"549","G11123-A",12
"550","G11124-A",12
"551","G11125-A",5
"552","G11127-A",7
"553","G11128-A",5
"554","G11129-A",5
"555","G11138-A",16
"556","G11139-A",6
"557","G11140-A",15
