"","tsGroup","year"
"1247","G3478-A",9
"1248","G3481-A",9
"1249","G3485-A",7
"1250","G3485-B",6
"1251","G3488-A",5
"1252","G3489-A",8
"1253","G349-A",5
"1254","G3494-A",10
"1255","G3505-A",5
"1256","G3507-A",9
"1257","G351-A",13
"1258","G3512-A",9
"1259","G3513-A",9
"1260","G3521-A",12
"1261","G3523-A",8
"1262","G3523-B",8
"1263","G353-A",5
"1264","G353-B",11
"1265","G3533-A",6
"1266","G3533-B",9
"1267","G354-A",9
"1268","G3544-A",5
"1269","G355-A",5
"1270","G355-B",6
"1271","G356-A",5
"1272","G3560-A",9
"1273","G3568-A",9
"1274","G3573-A",12
"1275","G3579-A",9
"1276","G359-A",7
"1277","G3590-A",8
"1278","G3595-A",17
"1279","G3599-A",9
"1280","G3608-A",7
"1281","G3614-A",13
"1282","G3617-A",6
"1283","G3620-A",6
"1284","G3620-B",5
"1285","G3626-A",9
"1286","G3630-A",9
"1287","G3631-A",5
"1288","G3637-A",6
"1289","G3640-A",5
"1290","G3643-A",6
"1291","G3643-B",6
"1292","G366-A",11
"1293","G367-A",7
"1294","G3682-A",5
"1295","G3687-A",6
"1296","G369-A",7
"1297","G3690-A",9
"1298","G3704-A",9
"1299","G3729-A",10
"1300","G373-A",9
"1301","G3734-A",5
"1302","G3737-A",6
"1303","G3741-A",5
"1304","G3747-A",9
"1305","G3757-A",5
"1306","G3765-A",8
"1307","G3766-A",5
"1308","G3768-A",5
"1309","G377-A",5
"1310","G3770-A",12
"1311","G378-A",10
"1312","G3789-A",12
"1313","G3793-A",9
"1314","G3797-A",10
"1315","G3798-A",10
"1316","G3800-A",10
"1317","G3802-A",10
"1318","G3803-A",10
"1319","G381-A",13
"1320","G3812-A",10
"1321","G3824-A",7
"1322","G3828-A",10
"1323","G3836-A",12
"1324","G3842-A",6
"1325","G3848-A",10
"1326","G3851-A",8
"1327","G3859-A",10
"1328","G3859-B",7
"1329","G3896-A",6
"1330","G3896-B",5
"1331","G390-A",5
"1332","G3911-A",10
"1333","G3913-A",10
"1334","G3918-A",6
"1335","G3923-A",13
"1336","G3924-A",8
"1337","G3934-A",9
"1338","G3949-A",7
"1339","G3972-A",9
"1340","G3972-B",7
"1341","G3975-A",6
"1342","G3976-A",9
"1343","G3976-B",8
"1344","G4009-A",5
"1345","G4036-A",5
"1346","G404-A",29
"1347","G4045-A",5
"1348","G4058-A",9
"1349","G4059-A",5
"1350","G4067-A",5
"1351","G4070-A",15
"1352","G4072-A",5
"1353","G4074-A",5
"1354","G4077-A",5
"1355","G4080-A",15
"1356","G4082-A",5
"1357","G4082-B",7
"1358","G4087-A",15
"1359","G4092-A",6
"1360","G4096-A",9
"1361","G4099-A",5
"1362","G4104-A",10
"1363","G4112-A",9
"1364","G4114-A",5
"1365","G4116-A",10
"1366","G412-A",29
"1367","G4127-A",10
"1368","G4130-A",5
"1369","G4133-A",5
"1370","G4141-A",6
"1371","G4143-A",5
"1372","G4144-A",8
"1373","G415-A",6
"1374","G4174-A",9
"1375","G4181-A",9
"1376","G4181-B",7
"1377","G4183-A",9
"1378","G4184-A",9
"1379","G4192-A",9
"1380","G4200-A",12
"1381","G4209-A",13
"1382","G4210-A",10
"1383","G4214-A",9
"1384","G4215-A",6
"1385","G4216-A",11
"1386","G4233-A",12
"1387","G4242-A",10
"1388","G4244-A",9
"1389","G4245-A",12
"1390","G4252-A",8
"1391","G4256-A",9
"1392","G4256-B",5
"1393","G4260-A",9
"1394","G4260-B",7
"1395","G4274-A",9
"1396","G4274-B",7
"1397","G4287-A",10
"1398","G4287-B",5
"1399","G4288-A",5
"1400","G4294-A",9
"1401","G4296-A",10
"1402","G4297-A",9
"1403","G4302-A",9
"1404","G4305-A",9
"1405","G4307-A",8
"1406","G4313-A",9
"1407","G4320-A",6
"1408","G4325-A",12
"1409","G4329-A",10
"1410","G4330-A",9
"1411","G4330-B",7
"1412","G4333-A",8
"1413","G4338-A",9
"1414","G4345-A",5
"1415","G4349-A",10
"1416","G4353-A",9
"1417","G4356-A",9
"1418","G436-A",8
"1419","G4361-A",10
"1420","G4363-A",11
"1421","G4380-A",6
"1422","G4382-A",11
"1423","G4383-A",5
"1424","G4396-A",7
"1425","G4397-A",9
"1426","G4398-A",10
"1427","G4405-A",7
"1428","G4411-A",13
"1429","G442-A",7
"1430","G4423-A",13
"1431","G4423-B",6
"1432","G4427-A",10
"1433","G4430-A",9
"1434","G4431-A",9
"1435","G4432-A",10
"1436","G4433-A",5
"1437","G4436-A",10
"1438","G4438-A",7
"1439","G4439-A",7
"1440","G4440-A",5
"1441","G4442-A",10
"1442","G4445-A",5
"1443","G445-A",11
"1444","G4452-A",10
"1445","G4454-A",10
"1446","G4459-A",9
"1447","G4461-A",9
"1448","G4463-A",7
"1449","G4465-A",7
"1450","G4469-A",7
"1451","G447-A",12
"1452","G4471-A",5
"1453","G4472-A",9
"1454","G4478-A",8
"1455","G4478-B",11
"1456","G4479-A",7
"1457","G4499-A",12
"1458","G450-A",5
"1459","G450-B",13
"1460","G4502-A",8
"1461","G4509-A",10
"1462","G4511-A",15
"1463","G4511-B",5
"1464","G4513-A",9
"1465","G4514-A",5
"1466","G4515-A",5
"1467","G4520-A",9
"1468","G4520-B",17
"1469","G4522-A",9
"1470","G4522-B",12
"1471","G4523-A",6
"1472","G4537-A",7
"1473","G4537-B",5
"1474","G4539-A",5
"1475","G4539-B",5
"1476","G4539-C",5
"1477","G454-A",5
"1478","G4540-A",8
"1479","G4541-A",15
"1480","G4541-B",6
"1481","G4542-A",5
"1482","G4542-B",5
"1483","G4543-A",5
"1484","G4543-B",9
"1485","G4544-A",5
"1486","G4544-B",6
"1487","G4546-A",5
"1488","G4547-A",5
"1489","G4547-B",5
"1490","G4547-C",11
"1491","G4550-A",5
"1492","G4551-A",8
"1493","G4561-A",5
"1494","G4561-B",5
"1495","G4561-C",5
"1496","G4563-A",5
"1497","G4563-B",5
"1498","G4565-A",5
"1499","G4568-A",5
"1500","G4574-A",10
"1501","G4583-A",9
"1502","G4587-A",5
"1503","G4597-A",5
"1504","G4599-A",14
"1505","G4608-A",11
"1506","G4627-A",12
"1507","G4637-A",5
"1508","G4639-A",8
"1509","G464-A",13
"1510","G4643-A",7
"1511","G4658-A",9
"1512","G4660-A",9
"1513","G4661-A",6
"1514","G4664-A",7
"1515","G4667-A",12
"1516","G4671-A",9
"1517","G4674-A",10
"1518","G4678-A",6
"1519","G468-A",5
"1520","G468-B",8
"1521","G4683-A",13
"1522","G469-A",5
"1523","G469-B",9
"1524","G4690-A",12
"1525","G4691-A",18
"1526","G4696-A",8
"1527","G4699-A",7
"1528","G4705-A",17
"1529","G4728-A",9
"1530","G4735-A",12
"1531","G4736-A",5
"1532","G4739-A",9
"1533","G474-A",7
"1534","G4743-A",5
"1535","G4747-A",6
"1536","G4755-A",5
"1537","G4755-B",5
"1538","G4757-A",5
"1539","G4757-B",5
"1540","G4758-A",9
"1541","G4759-A",5
"1542","G4760-A",6
"1543","G4762-A",7
"1544","G4763-A",5
"1545","G4766-A",5
"1546","G4766-B",5
"1547","G4775-A",12
"1548","G4778-A",5
"1549","G4779-A",5
"1550","G4780-A",5
"1551","G4780-B",17
"1552","G4782-A",5
"1553","G4785-A",5
"1554","G4789-A",5
"1555","G4790-A",5
"1556","G4790-B",5
"1557","G4807-A",5
"1558","G4816-A",10
"1559","G4818-A",13
"1560","G4819-A",12
"1561","G482-A",9
"1562","G4830-A",7
"1563","G4832-A",7
"1564","G4833-A",11
"1565","G4835-A",12
"1566","G4838-A",6
"1567","G4839-A",7
"1568","G4842-A",18
"1569","G4843-A",7
"1570","G4844-A",15
"1571","G4850-A",7
"1572","G4853-A",13
"1573","G4856-A",7
"1574","G4859-A",7
"1575","G4864-A",5
"1576","G4869-A",10
"1577","G487-A",11
"1578","G491-A",9
"1579","G4918-A",8
"1580","G492-A",19
"1581","G494-A",5
"1582","G494-B",6
"1583","G4957-A",7
"1584","G4961-A",9
"1585","G4962-A",11
"1586","G4981-A",6
"1587","G4994-A",18
"1588","G5012-A",5
"1589","G5019-A",9
"1590","G502-A",5
"1591","G5020-A",6
"1592","G5036-A",7
"1593","G5062-A",6
"1594","G5073-A",7
"1595","G5095-A",7
"1596","G5106-A",5
"1597","G5118-A",14
"1598","G518-A",5
"1599","G518-B",13
"1600","G5194-A",6
"1601","G5228-A",18
"1602","G524-A",8
"1603","G5261-A",5
"1604","G528-A",9
"1605","G530-A",5
"1606","G531-A",5
"1607","G5317-A",7
"1608","G532-A",19
"1609","G5346-A",7
"1610","G5350-A",5
"1611","G5372-A",5
"1612","G540-A",5
"1613","G541-A",6
"1614","G5416-A",8
"1615","G542-A",11
"1616","G543-A",8
"1617","G5455-A",13
"1618","G5464-A",7
"1619","G5479-A",14
"1620","G5489-A",5
"1621","G5492-A",13
"1622","G550-A",5
"1623","G5509-A",7
"1624","G5525-A",8
"1625","G5530-A",7
"1626","G5541-A",7
"1627","G5545-A",9
"1628","G5548-A",9
"1629","G555-A",13
"1630","G5556-A",8
"1631","G5560-A",7
"1632","G5570-A",5
"1633","G5570-B",7
"1634","G5581-A",9
"1635","G5594-A",6
"1636","G5594-B",6
"1637","G5602-A",5
"1638","G562-A",5
"1639","G562-B",13
"1640","G5628-A",7
"1641","G5644-A",12
"1642","G5646-A",13
"1643","G565-A",5
"1644","G565-B",5
"1645","G5651-A",10
"1646","G5658-A",5
"1647","G568-A",5
"1648","G568-B",13
"1649","G5680-A",6
"1650","G5680-B",8
"1651","G5689-A",17
"1652","G5692-A",5
"1653","G5692-B",9
"1654","G5697-A",16
"1655","G5704-A",6
"1656","G5707-A",10
"1657","G5709-A",6
"1658","G5709-B",5
"1659","G571-A",11
"1660","G5710-A",9
"1661","G5721-A",8
"1662","G5729-A",5
"1663","G5732-A",12
"1664","G5756-A",9
"1665","G5757-A",10
"1666","G5769-A",7
"1667","G5776-A",9
"1668","G5777-A",8
"1669","G578-A",5
"1670","G578-B",13
"1671","G579-A",7
"1672","G5793-A",8
"1673","G5795-A",5
"1674","G5797-A",11
"1675","G5800-A",6
"1676","G5800-B",6
"1677","G5812-A",7
"1678","G5816-A",8
"1679","G5817-A",8
"1680","G582-A",5
"1681","G5826-A",11
"1682","G5837-A",10
"1683","G5838-A",13
"1684","G584-A",5
"1685","G5840-A",7
"1686","G5840-B",6
"1687","G5841-A",10
"1688","G5844-A",8
"1689","G5848-A",5
"1690","G585-A",5
"1691","G5850-A",8
"1692","G5851-A",8
"1693","G5853-A",8
"1694","G5854-A",12
"1695","G5855-A",8
"1696","G5861-A",8
"1697","G5863-A",6
"1698","G5869-A",6
"1699","G5870-A",5
"1700","G5873-A",8
"1701","G5875-A",11
"1702","G5881-A",10
"1703","G5892-A",10
"1704","G5897-A",6
"1705","G5898-A",11
"1706","G5904-A",7
"1707","G5907-A",13
"1708","G5908-A",6
"1709","G5912-A",6
"1710","G5913-A",5
"1711","G5921-A",8
"1712","G5922-A",9
"1713","G5927-A",5
"1714","G5928-A",13
"1715","G5929-A",8
"1716","G5931-A",5
"1717","G5940-A",8
"1718","G5946-A",10
"1719","G5948-A",9
"1720","G5950-A",9
"1721","G5960-A",13
"1722","G5965-A",5
"1723","G5975-A",6
"1724","G5980-A",8
"1725","G5984-A",5
"1726","G6004-A",11
"1727","G6004-B",5
"1728","G6005-A",5
"1729","G6008-A",5
"1730","G6014-A",13
"1731","G6016-A",5
"1732","G6027-A",5
"1733","G6031-A",13
"1734","G6033-A",8
"1735","G6035-A",6
"1736","G6037-A",11
"1737","G6038-A",10
"1738","G6041-A",8
"1739","G6044-A",5
"1740","G6060-A",6
"1741","G6061-A",5
"1742","G6064-A",8
"1743","G6066-A",11
"1744","G6071-A",15
"1745","G6077-A",11
"1746","G6079-A",8
"1747","G6082-A",7
"1748","G6083-A",11
"1749","G6084-A",6
"1750","G617-A",7
"1751","G7260-A",14
"1752","G7270-A",7
"1753","G7271-A",12
"1754","G7271-B",5
"1755","G7272-A",23
"1756","G7275-A",13
"1757","G7276-A",11
"1758","G7277-A",13
"1759","G7278-A",14
"1760","G7279-A",24
"1761","G7280-A",6
"1762","G7280-B",13
"1763","G7281-A",13
"1764","G7282-A",13
"1765","G7283-A",10
"1766","G7285-A",5
"1767","G7286-A",13
"1768","G7287-A",8
"1769","G7288-A",13
"1770","G7289-A",13
"1771","G7290-A",13
"1772","G7291-A",7
"1773","G7292-A",13
"1774","G7293-A",20
"1775","G7294-A",24
"1776","G7295-A",13
"1777","G7297-A",13
"1778","G7297-B",5
"1779","G7298-A",14
"1780","G7299-A",10
"1781","G7300-A",6
"1782","G7309-A",5
"1783","G7310-A",5
"1784","G7321-A",16
"1785","G7333-A",10
"1786","G7334-A",12
"1787","G7335-A",5
"1788","G7336-A",12
"1789","G7338-A",18
"1790","G7339-A",12
"1791","G7340-A",13
"1792","G7342-A",16
"1793","G7343-A",29
"1794","G7344-A",15
"1795","G7347-A",7
"1796","G7347-B",12
"1797","G7348-A",8
"1798","G7348-B",16
"1799","G7350-A",10
"1800","G7352-A",5
"1801","G7353-A",11
"1802","G7355-A",19
"1803","G7356-A",10
"1804","G7357-A",24
"1805","G7358-A",25
"1806","G7361-A",20
"1807","G7363-A",17
"1808","G7365-A",18
"1809","G7366-A",9
"1810","G7367-A",7
"1811","G7369-A",23
"1812","G7370-A",6
"1813","G7370-B",18
"1814","G7372-A",18
"1815","G7373-A",13
"1816","G7376-A",13
"1817","G7378-A",15
"1818","G7380-A",18
"1819","G7386-A",16
"1820","G7395-A",5
"1821","G7413-A",13
"1822","G7419-A",9
"1823","G742-A",6
"1824","G7430-A",10
"1825","G7432-A",8
"1826","G7433-A",6
"1827","G7453-A",6
"1828","G7453-B",9
"1829","G7454-A",22
"1830","G7512-A",5
"1831","G7513-A",18
"1832","G7515-A",5
"1833","G7515-B",23
"1834","G7516-A",22
"1835","G7517-A",18
"1836","G7519-A",11
"1837","G7521-A",17
"1838","G7523-A",9
"1839","G7524-A",6
"1840","G7525-A",9
"1841","G7526-A",5
"1842","G7526-B",5
"1843","G7531-A",10
"1844","G7533-A",7
"1845","G7538-A",16
"1846","G7539-A",23
"1847","G7540-A",23
"1848","G7541-A",13
"1849","G7543-A",16
"1850","G7545-A",15
"1851","G7548-A",8
"1852","G7551-A",10
"1853","G7553-A",15
"1854","G7554-A",6
"1855","G7554-B",6
"1856","G7555-A",10
"1857","G7556-A",13
"1858","G7557-A",9
"1859","G7558-A",5
"1860","G7558-B",5
"1861","G7559-A",9
"1862","G7560-A",5
"1863","G7561-A",18
"1864","G7565-A",14
"1865","G7568-A",10
"1866","G7569-A",17
"1867","G7569-B",5
"1868","G7607-A",13
"1869","G7608-A",5
"1870","G7609-A",11
"1871","G7618-A",10
"1872","G7619-A",8
"1873","G7620-A",5
"1874","G7620-B",7
"1875","G7623-A",8
"1876","G7629-A",14
"1877","G7630-A",5
"1878","G7633-A",13
"1879","G7639-A",9
"1880","G7641-A",14
"1881","G7646-A",10
"1882","G7647-A",8
"1883","G7651-A",10
"1884","G7651-B",8
"1885","G7652-A",13
"1886","G7653-A",12
"1887","G7656-A",14
"1888","G7718-A",8
"1889","G7718-B",7
"1890","G7721-A",9
"1891","G7721-B",6
"1892","G7722-A",15
"1893","G7724-A",7
"1894","G7724-B",16
"1895","G7726-A",15
"1896","G7729-A",8
"1897","G7736-A",15
"1898","G7737-A",23
"1899","G7739-A",14
"1900","G7740-A",14
"1901","G7740-B",6
"1902","G7741-A",5
"1903","G7743-A",9
"1904","G7743-B",13
"1905","G7747-A",23
"1906","G7749-A",6
"1907","G7749-B",7
"1908","G7752-A",13
"1909","G7753-A",5
"1910","G7757-A",14
"1911","G7760-A",24
"1912","G7761-A",13
"1913","G7762-A",6
"1914","G7763-A",5
"1915","G7763-B",7
"1916","G7774-A",5
"1917","G7797-A",5
"1918","G7805-A",5
"1919","G7809-A",11
"1920","G7810-A",8
"1921","G7811-A",21
"1922","G7812-A",9
"1923","G7816-A",5
"1924","G7818-A",5
"1925","G7820-A",13
"1926","G7822-A",5
"1927","G7829-A",11
"1928","G7829-B",5
"1929","G7830-A",5
"1930","G7835-A",5
"1931","G7837-A",7
"1932","G7838-A",6
"1933","G7839-A",5
"1934","G7841-A",19
"1935","G7843-A",6
"1936","G7852-A",6
"1937","G7865-A",5
"1938","G7866-A",5
"1939","G7883-A",14
"1940","G7884-A",11
"1941","G7885-A",8
"1942","G7889-A",10
"1943","G7890-A",11
"1944","G7891-A",8
"1945","G7893-A",8
"1946","G7896-A",5
"1947","G7897-A",12
"1948","G7900-A",12
"1949","G7901-A",7
"1950","G7902-A",12
"1951","G7904-A",5
"1952","G7905-A",14
"1953","G7908-A",6
"1954","G7915-A",13
"1955","G7916-A",6
"1956","G7926-A",5
"1957","G7927-A",6
"1958","G7933-A",15
"1959","G7968-A",10
"1960","G7972-A",24
"1961","G7974-A",19
"1962","G7974-B",5
"1963","G7981-A",6
"1964","G7981-B",17
"1965","G7986-A",22
"1966","G7987-A",14
"1967","G7988-A",14
"1968","G7989-A",7
"1969","G7990-A",14
"1970","G7991-A",11
"1971","G7992-A",9
"1972","G7993-A",25
"1973","G7994-A",7
"1974","G7994-B",9
"1975","G7994-C",6
"1976","G7995-A",15
"1977","G7996-A",6
"1978","G7996-B",17
"1979","G7998-A",12
"1980","G7998-B",7
"1981","G8002-A",9
"1982","G8010-A",5
"1983","G8011-A",5
"1984","G8015-A",5
"1985","G8016-A",5
"1986","G8019-A",5
"1987","G8020-A",5
"1988","G8021-A",5
"1989","G8022-A",5
"1990","G8023-A",6
"1991","G8025-A",5
"1992","G805-A",8
"1993","G8063-A",23
"1994","G8069-A",23
"1995","G8073-A",13
"1996","G8074-A",13
"1997","G8075-A",10
"1998","G8076-A",13
"1999","G8077-A",13
"2000","G8078-A",13
"2001","G8079-A",9
"2002","G8081-A",12
"2003","G8082-A",9
"2004","G8084-A",13
"2005","G8086-A",10
"2006","G8088-A",13
"2007","G8089-A",13
"2008","G8090-A",10
"2009","G8092-A",14
"2010","G8093-A",13
"2011","G8095-A",13
"2012","G8096-A",24
"2013","G8101-A",7
"2014","G8102-A",5
"2015","G8106-A",5
"2016","G8118-A",14
"2017","G8119-A",9
"2018","G8123-A",6
"2019","G8124-A",14
"2020","G8125-A",14
"2021","G8126-A",22
"2022","G8131-A",10
"2023","G8135-A",8
"2024","G8164-A",24
"2025","G8169-A",9
"2026","G8174-A",10
"2027","G8180-A",7
"2028","G8181-A",13
"2029","G8181-B",5
"2030","G8182-A",15
"2031","G8183-A",14
"2032","G8184-A",14
"2033","G8186-A",15
"2034","G8187-A",6
"2035","G8187-B",7
"2036","G8188-A",14
"2037","G8189-A",7
"2038","G8191-A",5
"2039","G8191-B",5
"2040","G8191-C",9
"2041","G8205-A",14
"2042","G8215-A",15
"2043","G8247-A",5
"2044","G8247-B",5
"2045","G8247-C",5
"2046","G8250-A",11
"2047","G8255-A",6
"2048","G8255-B",10
"2049","G8258-A",15
"2050","G8259-A",23
"2051","G8260-A",20
"2052","G8261-A",13
"2053","G8262-A",8
"2054","G8263-A",11
"2055","G8265-A",13
"2056","G8266-A",16
"2057","G8266-B",7
"2058","G8267-A",13
"2059","G8269-A",8
"2060","G8272-A",10
"2061","G8273-A",16
"2062","G8274-A",12
"2063","G8275-A",20
"2064","G8276-A",6
"2065","G8281-A",12
"2066","G8283-A",9
"2067","G8284-A",8
"2068","G8286-A",12
"2069","G8286-B",11
"2070","G8290-A",7
"2071","G8290-B",6
"2072","G8292-A",24
"2073","G8293-A",5
"2074","G8294-A",13
"2075","G8295-A",7
"2076","G8297-A",5
"2077","G8299-A",10
"2078","G8300-A",7
"2079","G8300-B",5
"2080","G8301-A",24
"2081","G8304-A",6
"2082","G8304-B",24
"2083","G8305-A",11
"2084","G8308-A",9
"2085","G8308-B",13
"2086","G8310-A",20
"2087","G8314-A",11
"2088","G8318-A",11
"2089","G8322-A",6
"2090","G8322-B",12
"2091","G8323-A",6
"2092","G8323-B",6
"2093","G8324-A",6
"2094","G8325-A",8
"2095","G8327-A",8
"2096","G8328-A",8
"2097","G8328-B",14
"2098","G8333-A",13
"2099","G8374-A",5
"2100","G8375-A",5
"2101","G8380-A",5
"2102","G8381-A",5
"2103","G8382-A",5
"2104","G8385-A",9
"2105","G8386-A",5
"2106","G8398-A",6
"2107","G8398-B",7
"2108","G8402-A",8
"2109","G8408-A",8
"2110","G8409-A",5
"2111","G8410-A",11
"2112","G8411-A",5
"2113","G8416-A",11
"2114","G8420-A",6
"2115","G8436-A",5
"2116","G8438-A",13
"2117","G8439-A",20
"2118","G8439-B",5
"2119","G8440-A",16
"2120","G8447-A",13
"2121","G8453-A",5
"2122","G8455-A",13
"2123","G8457-A",13
"2124","G8459-A",14
"2125","G8462-A",7
"2126","G8462-B",6
"2127","G8468-A",11
"2128","G8500-A",24
"2129","G8503-A",5
"2130","G8504-A",14
"2131","G8504-B",7
"2132","G8508-A",19
"2133","G8509-A",11
"2134","G8509-B",11
"2135","G8510-A",14
"2136","G8511-A",7
"2137","G8519-A",6
"2138","G8523-A",10
"2139","G8528-A",5
"2140","G8528-B",7
"2141","G8553-A",13
"2142","G8554-A",11
"2143","G8554-B",6
"2144","G8556-A",18
"2145","G8559-A",6
"2146","G8564-A",6
"2147","G8565-A",6
"2148","G8567-A",14
"2149","G8568-A",9
"2150","G8568-B",9
"2151","G8569-A",18
"2152","G8576-A",13
"2153","G8579-A",5
"2154","G8614-A",7
"2155","G8614-B",17
"2156","G8616-A",8
"2157","G8617-A",6
"2158","G8619-A",12
"2159","G8620-A",9
"2160","G8626-A",8
"2161","G8626-B",10
"2162","G8626-C",6
"2163","G8630-A",13
"2164","G8632-A",8
"2165","G8632-B",6
"2166","G8633-A",14
"2167","G8634-A",9
"2168","G8637-A",26
"2169","G8641-A",5
"2170","G8642-A",22
"2171","G8643-A",12
"2172","G8647-A",26
"2173","G8648-A",22
"2174","G8649-A",8
"2175","G8649-B",13
"2176","G8654-A",5
"2177","G8655-A",5
"2178","G8657-A",5
"2179","G8658-A",5
"2180","G8664-A",8
"2181","G8673-A",6
"2182","G8674-A",12
"2183","G8675-A",11
"2184","G8676-A",5
"2185","G8679-A",15
"2186","G8683-A",5
"2187","G8684-A",6
"2188","G8685-A",11
"2189","G8687-A",8
"2190","G8688-A",9
"2191","G8688-B",6
"2192","G8690-A",10
"2193","G8692-A",7
"2194","G8694-A",7
"2195","G8695-A",8
"2196","G8696-A",5
"2197","G8700-A",10
"2198","G8701-A",11
"2199","G8702-A",7
"2200","G8703-A",11
"2201","G8704-A",10
"2202","G8705-A",5
"2203","G8706-A",8
"2204","G8707-A",5
"2205","G8714-A",5
"2206","G8715-A",12
"2207","G8717-A",9
"2208","G8718-A",10
"2209","G8719-A",14
"2210","G8719-B",7
"2211","G8721-A",7
"2212","G8724-A",5
"2213","G8725-A",6
"2214","G8734-A",5
"2215","G8759-A",5
"2216","G8821-A",6
"2217","G8828-A",5
"2218","G8830-A",7
"2219","G8832-A",5
"2220","G8832-B",7
"2221","G8833-A",11
"2222","G8834-A",5
"2223","G8836-A",5
"2224","G8837-A",5
"2225","G8839-A",6
"2226","G8840-A",5
"2227","G8841-A",5
"2228","G8842-A",9
"2229","G8843-A",5
"2230","G8845-A",5
"2231","G8846-A",14
"2232","G8847-A",6
"2233","G8847-B",5
"2234","G8848-A",8
"2235","G8850-A",10
"2236","G8854-A",10
"2237","G8856-A",6
"2238","G8857-A",6
"2239","G8858-A",5
"2240","G8859-A",8
"2241","G8860-A",11
"2242","G8861-A",16
"2243","G8862-A",5
"2244","G8863-A",5
"2245","G8863-B",6
"2246","G8864-A",16
"2247","G8865-A",10
"2248","G8866-A",9
"2249","G8867-A",5
"2250","G8869-A",7
"2251","G8869-B",8
"2252","G8870-A",9
"2253","G8874-A",9
"2254","G8874-B",7
"2255","G8875-A",6
"2256","G8875-B",7
"2257","G8878-A",6
"2258","G8881-A",6
"2259","G8882-A",7
"2260","G8883-A",10
"2261","G8885-A",8
"2262","G8886-A",15
"2263","G8887-A",5
"2264","G8887-B",5
"2265","G8888-A",9
"2266","G8888-B",7
"2267","G8889-A",7
"2268","G8890-A",8
"2269","G8891-A",10
"2270","G8892-A",8
"2271","G8892-B",7
"2272","G8893-A",6
"2273","G8894-A",15
"2274","G8896-A",10
"2275","G8896-B",6
"2276","G8898-A",5
"2277","G8899-A",7
"2278","G8899-B",10
"2279","G8903-A",10
"2280","G8907-A",9
"2281","G8908-A",5
"2282","G8909-A",6
"2283","G8915-A",9
"2284","G8917-A",6
"2285","G8918-A",7
"2286","G8918-B",16
"2287","G8919-A",6
"2288","G8921-A",16
"2289","G8924-A",5
"2290","G8925-A",6
"2291","G8925-B",7
"2292","G8926-A",7
"2293","G8927-A",5
"2294","G8928-A",8
"2295","G9066-A",5
"2296","G9128-A",13
"2297","G9128-B",7
"2298","G9129-A",11
"2299","G9144-A",9
"2300","G9152-A",8
"2301","G9158-A",9
"2302","G9162-A",17
"2303","G9163-A",20
"2304","G9165-A",10
"2305","G9166-A",12
"2306","G9168-A",8
"2307","G9174-A",9
"2308","G9177-A",7
"2309","G9190-A",12
"2310","G9196-A",15
"2311","G9196-B",7
"2312","G9206-A",13
"2313","G9210-A",12
"2314","G9224-A",5
"2315","G9235-A",8
"2316","G9239-A",6
"2317","G9240-A",8
"2318","G9244-A",7
"2319","G9245-A",8
"2320","G9248-A",6
"2321","G9249-A",8
"2322","G9251-A",7
"2323","G9260-A",18
"2324","G9261-A",18
"2325","G9262-A",14
"2326","G9269-A",10
"2327","G9272-A",6
"2328","G9275-A",21
"2329","G9276-A",22
"2330","G9278-A",21
"2331","G9286-A",7
"2332","G9289-A",5
"2333","G9296-A",7
"2334","G9298-A",7
"2335","G9310-A",5
"2336","G9311-A",7
"2337","G9312-A",19
"2338","G9312-B",14
"2339","G9313-A",12
"2340","G9314-A",7
"2341","G9315-A",12
"2342","G9316-A",11
"2343","G9317-A",12
"2344","G9326-A",13
"2345","G9327-A",15
"2346","G9327-B",14
"2347","G9328-A",12
"2348","G9329-A",7
"2349","G9329-B",14
"2350","G9330-A",13
"2351","G9333-A",14
"2352","G9339-A",7
"2353","G9340-A",7
"2354","G9342-A",6
"2355","G9344-A",5
"2356","G9345-A",5
"2357","G9345-B",5
"2358","G9346-A",5
"2359","G9346-B",13
"2360","G9347-A",7
"2361","G9348-A",5
"2362","G9349-A",6
"2363","G9350-A",9
"2364","G9351-A",9
"2365","G9352-A",9
"2366","G9354-A",12
"2367","G9357-A",13
"2368","G9358-A",11
"2369","G9363-A",5
"2370","G9364-A",5
"2371","G9365-A",8
"2372","G9366-A",9
"2373","G9366-B",8
"2374","G9367-A",11
"2375","G9371-A",5
"2376","G9378-A",8
"2377","G9379-A",8
"2378","G9382-A",9
"2379","G9384-A",9
"2380","G9385-A",9
"2381","G9387-A",6
"2382","G9388-A",6
"2383","G9388-B",10
"2384","G9389-A",20
"2385","G9390-A",15
"2386","G9391-A",22
"2387","G9392-A",12
"2388","G9392-B",7
"2389","G9393-A",20
"2390","G9396-A",20
"2391","G9398-A",14
"2392","G9407-A",15
"2393","G9408-A",5
"2394","G9412-A",5
"2395","G9413-A",5
"2396","G9416-A",14
"2397","G9418-A",21
"2398","G9419-A",25
"2399","G9421-A",8
"2400","G9422-A",21
"2401","G9423-A",7
"2402","G9426-A",8
"2403","G9429-A",5
"2404","G9432-A",6
"2405","G9437-A",5
"2406","G9439-A",6
"2407","G9439-B",5
"2408","G9441-A",9
"2409","G9443-A",7
"2410","G9444-A",7
"2411","G9450-A",5
"2412","G9452-A",8
"2413","G9454-A",12
"2414","G9455-A",8
"2415","G9456-A",12
"2416","G9460-A",10
"2417","G9461-A",5
