"SiteID","t","Latitude","Longitude","Temp","AvgTemp","Precip"
3,"1958-04-01",48.7,-0.744,12.447412109375,8.04599151611325,0.0910758972167969
3,"1958-04-02",48.7,-0.744,9.94326171875002,5.17275390625002,0
3,"1958-04-03",48.7,-0.744,6.67226562500002,3.59475097656252,4.25815582275391
3,"1958-04-04",48.7,-0.744,4.97011718750002,2.75822347005209,5.05471229553223
3,"1958-04-05",48.7,-0.744,6.24526367187502,2.64869588216146,1.48963928222656
3,"1958-04-06",48.7,-0.744,8.81020507812502,5.17237752278646,0.0238418579101563
3,"1958-04-07",48.7,-0.744,6.68325195312502,4.05461018880209,0.781059265136719
3,"1958-04-08",48.7,-0.744,6.73940429687502,3.14706382751467,0.924110412597656
3,"1958-04-09",48.7,-0.744,7.04970703125002,3.76487312316897,2.01129913330078
3,"1958-04-10",48.7,-0.744,7.38540039062502,3.73660558064779,1.24120712280273
3,"1958-04-11",48.7,-0.744,5.99428710937502,2.44386634826662,2.79426574707032
3,"1958-04-12",48.7,-0.744,6.39565429687502,2.95081990559896,0.0462532043457031
3,"1958-04-13",48.7,-0.744,9.79604492187502,4.75690104166671,0.00238418579101563
3,"1958-04-14",48.7,-0.744,10.06533203125,5.69657669067385,0.00715255737304688
3,"1958-04-15",48.7,-0.744,9.89296875000002,6.83587036132815,1.95884704589844
3,"1958-04-16",48.7,-0.744,7.87929687500002,5.11145426432296,1.46150588989258
3,"1958-04-17",48.7,-0.744,8.98696289062502,6.14979451497396,0.423431396484374
3,"1958-04-18",48.7,-0.744,13.2376953125,9.43133951822921,0.5340576171875
3,"1958-04-19",48.7,-0.744,13.172998046875,10.064090983073,0.0057220458984375
3,"1958-04-20",48.7,-0.744,17.456201171875,11.6718587239583,0
3,"1958-04-21",48.7,-0.744,18.2201171875,11.9568725585938,0
3,"1958-04-22",48.7,-0.744,14.9671875,9.96549886067709,0.773429870605468
3,"1958-04-23",48.7,-0.744,14.933740234375,9.35975545247396,0
3,"1958-04-24",48.7,-0.744,15.006005859375,10.0839884440105,2.41851806640625
3,"1958-04-25",48.7,-0.744,11.646875,8.69894816080733,4.24528121948242
3,"1958-04-26",48.7,-0.744,10.244287109375,9.29798787434896,15.9077644348145
3,"1958-04-27",48.7,-0.744,11.7484375,8.48355509440108,0.654220581054688
3,"1958-04-28",48.7,-0.744,14.3314453125,10.0399922688802,0.0877380371093749
3,"1958-04-29",48.7,-0.744,17.705712890625,13.190077718099,0.0481605529785155
3,"1958-04-30",48.7,-0.744,18.891259765625,13.7934407552083,0
3,"1958-05-01",48.7,-0.744,20.2845703125,15.2024475097656,0
3,"1958-05-02",48.7,-0.744,23.0169921875,16.4607584635417,0
3,"1958-05-03",48.7,-0.744,22.8392578125,16.3395222981771,0
3,"1958-05-04",48.7,-0.744,22.28408203125,15.6476684570313,0.00143051147460938
3,"1958-05-05",48.7,-0.744,18.41591796875,15.4554280598958,2.59304046630859
3,"1958-05-06",48.7,-0.744,16.84560546875,14.078006998698,2.38704681396485
3,"1958-05-07",48.7,-0.744,20.193017578125,16.0301045735677,0.197410583496094
3,"1958-05-08",48.7,-0.744,20.475,15.774540201823,5.35535812377929
3,"1958-05-09",48.7,-0.744,18.8763671875,14.9370463053386,7.73119926452637
